Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
carbonyl-1-ethyl-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Ethyl,Carbonyl,782.1559579,1712.754563,46.375952,2.50929039,-0.0209,0.084561283,0.444286074,No
1-ethyl-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Ethyl,,722.2017243,1930.499537,46.375952,2.50929039,0.164,0.056555004,0.439332205,No
1-(2-hydroxypropyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Propyl,Hydroxyl,827.3579032,1813.280533,29.85357007,2.829217014,-0.2706,0.08708501,0.466289869,No
1-(3-aminopropyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Propyl,Amino,848.0622754,1791.778455,24.51505116,2.829217014,0.7161,0.13370484,0.467196253,No
1-(2-hydroxybutyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Butyl,Hydroxyl,838.9987092,1696.374826,27.09238954,3.189933276,0.1195,0.092385775,0.486116578,No
1-(3-aminobutyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Butyl,Amino,859.7030814,1678.124597,21.99762313,3.189933276,1.1062,0.141843301,0.485321576,No
1-(2-hydroxymethyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Methyl,Hydroxyl,689.5368746,2412.310039,20.17431791,3.004166024,0.9506,0.041167029,0.473761155,Yes
1-(3-aminomethyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Methyl,Amino,710.2412468,2371.298982,15.57537634,3.004166024,1.9373,0.063205264,0.461085677,Yes
"carboxyl-1,3-dimethylimidazolium tetrafluoroborate",Methylimidazolium,Tetrafluoroborate,Methyl,Carboxyl,692.1762833,1892.495626,42.59994446,3.004166024,1.4761,0.071390316,0.436310185,Yes
"carbonyl-1,3-dimethylimidazolium tetrafluoroborate",Methylimidazolium,Tetrafluoroborate,Methyl,Carbonyl,656.8217279,1999.812264,32.16130374,3.004166024,1.5904,0.044581441,0.447633489,Yes
"1,3-dimethylimidazolium tetrafluoroborate",Methylimidazolium,Tetrafluoroborate,Methyl,,596.8674944,2416.290969,32.16130374,3.004166024,1.7753,0.029816288,0.439282021,Yes
1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Ethyl,Hydroxyl,697.3831605,2140.377102,19.12775424,3.387187734,1.3407,0.045911972,0.47686508,Yes
1-(3-aminoethyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Ethyl,Amino,718.0875327,2108.974445,14.66938181,3.387187734,2.3274,0.070490351,0.464208919,Yes
carboxyl-1-ethyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Ethyl,Carboxyl,700.0225692,1757.449162,40.52472586,3.387187734,1.8662,0.079618819,0.438816745,Yes
1-(2-hydroxypentyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Pentyl,Hydroxyl,850.6478182,1603.332489,29.85357007,1.915540829,0.5096,0.098009191,0.464600887,No
1-(2-hydroxypropyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Propyl,Hydroxyl,709.8699592,1954.28132,21.35974801,3.819043505,1.7308,0.051203821,0.475352576,Yes
1-ethyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Ethyl,,604.7137803,2124.157674,30.08950541,3.387187734,2.1654,0.033252937,0.444469425,Yes
1-(3-aminopropyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Propyl,Amino,730.5743314,1928.995217,16.60869354,3.819043505,2.7175,0.078615123,0.47429073,Yes
1-(2-hydroxyhexyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Hexyl,Hydroxyl,862.2969272,1527.486307,24.58659281,1.915540829,0.8997,0.103974899,0.470319525,No
carbonyl-1-ethyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Ethyl,Carbonyl,664.6680139,1834.996982,30.08950541,3.387187734,1.9805,0.049719933,0.450644461,Yes
1-(3-aminopentyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Pentyl,Amino,871.3521904,1587.52355,24.51505116,1.915540829,1.4963,0.150477141,0.465409758,No
1-propyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Propyl,,617.200579,1929.207972,34.54062775,3.819043505,2.5555,0.037085696,0.475889149,Yes
1-(2-hydroxybutyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Butyl,Hydroxyl,721.5107652,1807.63574,17.61444785,4.305959528,2.1209,0.054320539,0.479462809,Yes
carboxyl-1-butyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Butyl,Carboxyl,724.1501739,1572.12728,37.96836582,4.305959528,2.6464,0.094200641,0.475182022,Yes
1-(3-aminobutyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Butyl,Amino,742.2151374,1786.638404,13.38159625,4.305959528,3.1076,0.083400336,0.477559464,Yes
carboxyl-1-propyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Propyl,Carboxyl,712.5093679,1657.820425,44.94242148,3.819043505,2.2563,0.088795745,0.471546843,Yes
1-butyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Butyl,,628.841385,1778.123166,27.58570847,4.305959528,2.9456,0.03934306,0.47936403,Yes
carbonyl-1-propyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Propyl,Carbonyl,677.1548125,1716.21894,34.54062775,3.819043505,2.3706,0.05545069,0.480517069,Yes
1-(2-hydroxypentyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Pentyl,Hydroxyl,733.1598742,1693.662423,21.35974801,2.585709659,2.511,0.057626968,0.461096975,Yes
carbonyl-1-butyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Butyl,Carbonyl,688.7956185,1616.694202,27.58570847,4.305959528,2.7607,0.05882591,0.483112908,Yes
1-(3-aminopentyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Pentyl,Amino,753.8642464,1675.778795,16.60869354,2.585709659,3.4977,0.088476819,0.461158706,Yes
1-pentyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Pentyl,,640.490494,1662.267888,34.54062775,2.585709659,3.3357,0.041737827,0.438560778,Yes
1-(2-hydroxyhexyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Hexyl,Hydroxyl,744.8089832,1602.497831,14.52586299,2.585709659,2.9011,0.061134656,0.469166863,Yes
1-(3-aminohexyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Hexyl,Amino,765.5133554,1586.965357,10.78152943,2.585709659,3.8878,0.093862302,0.467845978,Yes
carbonyl-1-pentyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Pentyl,Carbonyl,700.4447275,1536.387244,34.54062775,2.585709659,3.1508,0.062406576,0.441944562,Yes
carboxyl-1-pentyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Pentyl,Carboxyl,735.7992829,1501.758669,44.94242148,2.585709659,3.0365,0.099934526,0.4294275,Yes
1-(2-hydroxyheptyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Heptyl,Hydroxyl,756.4497892,1527.867179,21.35974801,2.585709659,3.2912,0.064855853,0.458729507,Yes
1-hexyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Hexyl,,652.139603,1570.566734,22.03119518,2.585709659,3.7258,0.044278361,0.454207645,Yes
carbonyl-1-hexyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Hexyl,Carbonyl,712.0938365,1470.185816,22.03119518,2.585709659,3.5409,0.066205193,0.457155494,Yes
carboxyl-1-hexyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Hexyl,Carboxyl,747.4483919,1442.906842,32.07652716,2.585709659,3.4266,0.106017427,0.444988029,Yes
1-heptyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Heptyl,,663.780409,1496.126458,34.54062775,2.585709659,4.1159,0.046973534,0.436199295,Yes
1-(3-aminoheptyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Heptyl,Amino,777.1541614,1514.166069,16.60869354,2.585709659,4.2779,0.099575593,0.458719613,Yes
1-(3-aminohexyl)-3-methylimidazolium trifluoroacetate,Methylimidazolium,Trifluoroacetate,Hexyl,Amino,883.0012994,1513.570221,19.73870746,1.915540829,1.8864,0.159636513,0.470441722,No
1-(2-hydroxyoctyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Octyl,Hydroxyl,768.0988982,1465.727868,11.97884245,2.585709659,3.6813,0.068803555,0.480353121,Yes
carboxyl-1-heptyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Heptyl,Carboxyl,759.0891979,1392.916153,44.94242148,2.585709659,3.8167,0.112470587,0.426086305,Yes
1-(3-aminooctyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Octyl,Amino,788.8032704,1453.488858,8.686660001,2.585709659,4.668,0.105636646,0.47702349,Yes
carbonyl-1-heptyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Heptyl,Carbonyl,723.7346425,1414.628563,34.54062775,2.585709659,3.931,0.070235028,0.438824312,Yes
1-octyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Octyl,,675.429518,1434.576574,17.5951095,2.585709659,4.506,0.049832759,0.457245822,Yes
1-(2-hydroxynonyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Nonyl,Hydroxyl,779.7397042,1413.110059,21.35974801,2.585709659,4.0714,0.072991549,0.455489563,Yes
1-(3-aminononyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Nonyl,Amino,800.4440764,1402.063104,16.60869354,2.585709659,5.0581,0.112066628,0.455434153,Yes
1-nonyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Nonyl,,687.070324,1382.757649,34.54062775,2.585709659,4.8961,0.052866023,0.432935693,Yes
carboxyl-1-octyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Octyl,Carboxyl,770.7383069,1349.995638,27.09896969,2.585709659,4.2068,0.119316543,0.448011553,Yes
carboxyl-1-nonyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Nonyl,Carboxyl,782.3791129,1312.678421,44.94242148,2.585709659,4.5969,0.126579205,0.422256087,Yes
carbonyl-1-octyl-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Octyl,Carbonyl,735.3837515,1367.413411,17.5951095,2.585709659,4.3211,0.074510154,0.481160824,Yes
1-(2-hydroxydecyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Decyl,Hydroxyl,791.3888132,1368.052252,9.878426259,2.585709659,4.4615,0.077434461,0.478720243,Yes
1-(3-aminodecyl)-3-methylimidazolium tetrafluoroborate,Methylimidazolium,Tetrafluoroborate,Decyl,Amino,812.0931854,1357.993756,6.998827248,2.585709659,5.4482,0.118887995,0.474842238,Yes
