Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
carbonyl-hexyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Carbonyl,1104.2211,1372.652912,9.625100006,1.733253018,7.2943,0.599235872,0.547510872,No
1-nonyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Nonyl,,1220.18209,1613.252524,9.137688763,1.915540829,7.78732,0.703368347,0.547346491,No
carbonyl-1-nonyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Carbonyl,1280.136324,1560.655484,9.137688763,1.915540829,7.60242,1.051679346,0.547001309,No
N-decyl-N-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,1-Ethyl-3-methylpyrrolidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1040.592133,1377.376965,3.871025314,1.161834243,6.0629,0.340852377,0.546854263,No
N-decyl-N-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,Pyrrolidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1040.913328,1366.175,3.871025314,1,5.5909,0.338666119,0.546854263,No
(2-hydroxyoctyl)trimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Octyl,Hydroxyl,1160.226161,1372.901254,11.23975085,1.733253018,7.4347,0.622754138,0.546288867,No
(3-aminopentyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Pentyl,Amino,792.6755274,1412.059329,23.09286809,2.247907987,9.8629,0.148938472,0.546061233,No
carboxyl-octyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carboxyl,1162.86557,1316.273821,14.84360787,1.733253018,7.9602,1.079956856,0.545939568,No
1-decylpyridinium bis(trifluoromethanesulfonyl)imide,Pyridinium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1050.231631,1418.521614,2.209716429,1.568312185,5.6828,0.395079633,0.54586419,No
1-decylpyridinium bis(trifluoromethanesulfonyl)imide,1-Methylpyridinium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1058.252329,1366.69685,2.209716429,1.8221188,5.7174,0.349137114,0.54586419,No
