Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
N-(2-hydroxydecyl)-N-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,Pyrrolidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Hydroxyl,1133.582708,1385.649631,6.326149529,1,4.7662,0.467592666,0.771542904,No
N-(2-hydroxydecyl)-N-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,Piperidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Hydroxyl,1133.171834,1256.149149,6.326149529,1,5.1563,0.521487756,0.771542904,No
tetraoctylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Octyl,,1169.202544,1484.192995,6.951642001,1.665291195,10.6305,0.661008807,0.771299731,No
carbonyl-N-octyl-N-methylpiperidinium bis(trifluoromethanesulfonyl)imide,Piperidinium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carbonyl,1077.166772,1252.776584,5.139164064,1,5.0159,0.501793808,0.771015334,No
(2-hydroxynonyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Hydroxyl,1273.51273,1470.79688,20.18896152,1.665291195,10.1959,0.968199574,0.770880249,No
1-(3-aminohexyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Amino,1242.22896,1769.557279,5.207315375,1.915540829,5.21862,0.985940209,0.770587222,No
carboxyl-1-nonyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Carboxyl,1259.094718,1537.757235,16.18780255,1.915540829,5.92772,1.329602247,0.770471987,No
(2-hydroxyhexyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Hydroxyl,1238.582009,1560.572875,13.07624367,1.665291195,9.0256,0.81092331,0.770277073,No
carbonyl-octyl-morpholinium bis(trifluoromethanesulfonyl)imide,Morpholinium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carbonyl,1121.190247,1404.454864,5.139164064,1,3.8622,0.547310136,0.770268531,No
1-(3-aminopentyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Pentyl,Amino,1286.976012,1807.511123,9.433226576,1.915540829,6.38892,1.177160502,0.770114749,No
